movieId,title,genres,avg_rating,rating_count,tag_count,comprehensive_score,tags
1,Dinosaur Planet,,3.7495,547,0,69.7389,
2,Isle of Man TT 2004 Review,,3.5586,145,0,64.0445,
3,Character,,3.6412,2012,0,70.8975,
4,Paula Abdul's Get Up & Dance,,2.7394,142,0,51.7123,
5,The Rise and Fall of ECW,,3.9193,1140,0,73.8547,
6,Sick,,3.0844,1019,0,61.0913,
7,8 Man,,2.129,93,0,41.6584,
8,What the #$*! Do We Know!?,,3.1898,14910,0,68.4127,
9,Class of Nuke 'Em High 2,,2.6211,95,0,49.0837,
10,Fighter,,3.1807,249,0,59.5271,
11,Full Frame: Documentary Shorts,,3.0303,198,0,56.7825,
12,My Favorite Brunette,,3.4176,546,0,64.7556,
13,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,,4.552,125,0,78.6299,
14,Nature: Antarctica,,3.0254,118,0,55.6089,
15,Neil Diamond: Greatest Hits Live,,3.2862,290,0,61.4343,
16,Screamers,,3.0986,2699,0,63.3869,
17,7 Seconds,,2.9032,7108,0,62.5285,
18,Immortal Beloved,,3.7844,10722,0,76.6256,
19,By Dawn's Early Light,,3.3247,539,0,63.3344,
20,Seeta Aur Geeta,,3.1466,116,0,57.3896,
21,Strange Relations,,3.4633,218,0,63.4825,
22,Chump Change,,2.2463,203,0,45.0757,
23,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,,3.5561,615,0,67.0876,
24,My Bloody Valentine,,2.994,1333,0,60.3097,
25,Inspector Morse 31: Death Is Now My Neighbour,,3.9702,1207,0,74.74,
26,Never Die Alone,,2.7937,5861,0,60.4735,
27,Sesame Street: Elmo's World: The Street We Live On,,3.5275,273,0,64.9245,
28,Lilo and Stitch,,3.8233,39752,0,80.0129,
29,Boycott,,3.5985,523,0,67.377,
30,Something's Gotta Give,,3.7618,118413,0,81.4276,
31,Classic Albums: Meat Loaf: Bat Out of Hell,,3.0543,221,0,57.3765,
32,ABC Primetime: Mel Gibson's The Passion of the Christ,,4.0717,1854,0,77.1813,
33,Aqua Teen Hunger Force: Vol. 1,,4.1687,6890,0,81.4435,
34,Ashtanga Yoga: Beginner's Practice with Nicki Doane,,2.713,108,0,50.7342,
35,Ferngully 2: The Magical Rescue,,3.1454,839,0,61.591,
36,Lady Chatterley,,3.0202,939,0,59.9541,
37,Zatoichi's Conspiracy,,3.9893,281,0,71.9138,
38,Daydream Obsession,,2.0511,802,0,45.0803,
39,Love Reinvented,,2.4362,752,0,50.7184,
40,Pitcher and the Pin-Up,,2.9206,491,0,57.0736,
41,Horror Vision,,1.6344,93,0,34.239,
42,Searching for Paradise,,2.3281,128,0,45.3221,
43,Silent Service,,2.5714,105,0,48.5514,
44,Spitfire Grill,,3.684,8501,0,74.6239,
45,The Love Letter,,2.9687,2619,0,61.3746,
46,Rudolph the Red-Nosed Reindeer,,3.8065,6558,0,75.9055,
47,The Bad and the Beautiful,,3.2664,2350,0,65.6081,
48,Justice League,,3.7109,3591,0,73.1836,
49,Devo: The Complete Truth About De-evolution,,3.6667,231,0,66.6563,
50,A Yank in the R.A.F.,,3.0274,328,0,57.8155,
51,Jonah: A VeggieTales Movie: Bonus Material,,3.5667,90,0,63.1535,
52,The Weather Underground,,3.7571,5147,0,74.6468,
53,The Bonesetter,,1.6754,114,0,35.286,
54,We're Not Married,,2.9874,159,0,55.6725,
55,Jade,,3.0245,2406,0,62.0306,
56,Carandiru,,3.6487,1833,0,70.8109,
57,Richard III,,3.6786,3562,0,72.6804,
58,Dragonheart,,3.612,17405,0,75.0768,
59,Sex and the Beauties,,2.7892,204,0,53.2298,
60,The Libertine,,2.1492,295,0,44.415,
